name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,4.719417985000291,mateusz,001,2019_kwi_09_2200,experiment_2,3.0.5,60.36172585124692,
fist,0,0,0,4,,,mateusz,001,2019_kwi_09_2200,experiment_2,3.0.5,60.36172585124692,
